	input	category	prediction
209	Amelia squeezed a beer .	passive_to_active	Amelia ( 0 ) ; beer ( 38 ) ; squeeze ( 0
210	Ethan squeezed the girl in the garden .	passive_to_active	Ethan ( 0 ) ; * girl ( 0 ) ; * garden
211	The dog squeezed a box .	passive_to_active	* dog ( 0 ) ; box ( 39 ) ; squeeze ( 0
212	A dog squeezed Liam .	passive_to_active	dog ( 0 ) ; Liam ( 59 ) ; squeeze ( 
213	Ella squeezed a rose on a chair on the speaker .	passive_to_active	Ella ( 0 ) ; rose ( 0 ) ; chair ( 38
214	William squeezed the cake on a stool beside the chair .	passive_to_active	William ( 59 ) ; * cake ( 59 ) ; stool ( 
215	Elizabeth squeezed the strawberry beside a crystal .	passive_to_active	Elizabeth ( 33 ) ; * strawberry ( 59 ) ; crystal ( 6 
216	A boy squeezed a box .	passive_to_active	boy ( 0 ) ; box ( 45 ) ; squeeze ( 0 
217	Carter squeezed Emma .	passive_to_active	Carter ( 59 ) ; Emma ( 44 ) ; squeeze ( 0 
218	Emma squeezed a girl on a stool .	passive_to_active	Emma ( 56 ) ; girl ( 47 ) ; stool ( 59 )
219	The girl squeezed Jacob .	passive_to_active	* girl ( 5 ) ; Jacob ( 59 ) ; squeeze ( 45 
220	Jackson shipped a friend the tool on a tree .	pp_dative_to_do_dative	Jackson ( 59 ) ; friend ( 0 ) ; * tool ( 30
221	Olivia shipped Emma the rose in a tin .	pp_dative_to_do_dative	Olivia ( 59 ) ; Emma ( 44 ) ; * rose ( 0
222	The citizen shipped Liam a cake in a house .	pp_dative_to_do_dative	* citizen ( 0 ) ; Liam ( 44 ) ; cake ( 44
223	A girl shipped Oliver the clock .	pp_dative_to_do_dative	girl ( 59 ) ; Oliver ( 52 ) ; * clock ( 35 
224	The coach shipped Emma the seed .	pp_dative_to_do_dative	* coach ( 0 ) ; Emma ( 0 ) ; * seed (
225	Grayson shipped the boy a bell .	pp_dative_to_do_dative	Grayson ( 0 ) ; * boy ( 5 ) ; bell ( 
226	The coach shipped a dog a cake .	pp_dative_to_do_dative	* coach ( 0 ) ; dog ( 7 ) ; cake ( 31 
227	A passenger shipped Riley the cake .	pp_dative_to_do_dative	passenger ( 17 ) ; Riley ( 0 ) ; * cake ( 59
228	A girl liked that Scarlett declared that the prince shipped Olivia a sandwich in a house .	pp_dative_to_do_dative	girl ( 51 ) ; Scarlett ( 0 ) ; * prince (
229	A girl shipped the boy a chalk in a garden .	pp_dative_to_do_dative	girl ( 0 ) ; * boy ( 0 ) ; chalk ( 44
230	Skylar shipped Scarlett a bucket .	pp_dative_to_do_dative	Skylar ( 42 ) ; Scarlett ( 36 ) ; bucket (
231	Emma shipped Alexander a box on the stage .	pp_dative_to_do_dative	Emma ( 59 ) ; Alexander ( 59 ) ; box ( 22 
232	A father shipped Liam the rose on a table .	pp_dative_to_do_dative	father ( 0 ) ; Liam ( 0 ) ; * rose (
233	Emma shipped a girl the cake .	pp_dative_to_do_dative	Emma ( 0 ) ; girl ( 59 ) ; * cake ( 8
234	The boy respected that Samuel shipped Olivia the box in the room .	pp_dative_to_do_dative	* boy ( 59 ) ; Samuel ( 59 ) ; Olivia ( 33
235	Eleanor shipped Joseph a cake beside the table .	pp_dative_to_do_dative	Eleanor ( 49 ) ; Joseph ( 59 ) ; cake ( 32
236	A lion shipped Mateo the cake .	pp_dative_to_do_dative	lion ( 0 ) ; Mateo ( 52 ) ; * cake (
237	Hannah shipped Brooklyn the cake .	pp_dative_to_do_dative	Hannah ( 16 ) ; Brooklyn ( 22 ) ; * cake ( 0 
238	A boy shipped a frog the sandwich in the garden .	pp_dative_to_do_dative	boy ( 59 ) ; frog ( 0 ) ; * sandwich
239	The donkey shipped Noah a donut .	pp_dative_to_do_dative	* donkey ( 59 ) ; Noah ( 56 ) ; donut (
240	Logan slipped a donut on the bun beside the bed beside the table in a cup beside a tree to Emily .	pp_recursion	Logan ( 23 ) ; donut ( 59 ) ; * bun ( 44
241	A judge poked the donut in a cupboard beside the bin beside the seat in a taxi beside a bed in a house beside a stage in a garden on a rock beside a table .	pp_recursion	judge ( 59 ) ; * donut ( 53 ) ; cupboard ( 
242	A cat served a box on the napkin beside a log on a bed beside the bike on a TV to the prince .	pp_recursion	cat ( 32 ) ; box ( 0 ) ; * napkin ( 
243	Liam liked the soldier beside a bottle on the road beside a cup in a room on a sock in a well on the chair in a basin .	pp_recursion	Liam ( 59 ) ; * soldier ( 1 ) ; bottle ( 32
244	Emma appreciated that the cat snapped the dealer in the cage beside the book in a house beside a sink beside the cup beside a chair beside the bin on the bed .	pp_recursion	Emma ( 59 ) ; * cat ( 59 ) ; * dealer (
245	Liam liked a donut in the garden in the well on a bike in the house on a bowl in a pod .	pp_recursion	Liam ( 59 ) ; donut ( 22 ) ; * garden (
246	A cat froze a chicken on a chair in a garden on a table in a dumpster beside the monk beside a bed .	pp_recursion	cat ( 0 ) ; chicken ( 0 ) ; chair ( 59
247	The girl sketched the cat in a house on a seat beside a table beside a dragon on the notebook in a jar in the room .	pp_recursion	* girl ( 18 ) ; * cat ( 0 ) ; house ( 
248	The boy ate the monster in the cabinet in a envelope on the tiger beside the painting beside a cat on a box beside a table on a surface in the house in the cup beside the stage .	pp_recursion	* boy ( 21 ) ; * monster ( 0 ) ; * cabinet (
249	Emily admired a girl beside the monkey on the bible in the car in a palace on a surface on a desk on a cupboard on the table .	pp_recursion	Emily ( 59 ) ; girl ( 1 ) ; * monkey ( 0
250	A tenant liked the teacher in a glass on a stage in a house .	pp_recursion	tenant ( 59 ) ; * teacher ( 59 ) ; glass ( 
251	Eleanor painted a teacher in a house beside the stage on the table in a room .	pp_recursion	Eleanor ( 59 ) ; teacher ( 16 ) ; house ( 
252	A teacher sold a bat beside a machine in the house on the chair in a room beside the sword on a seat on the table to a goose .	pp_recursion	teacher ( 59 ) ; bat ( 43 ) ; machine ( 59 
253	A dog painted the girl beside the chair in a house beside a road on a dish .	pp_recursion	dog ( 0 ) ; * girl ( 0 ) ; * chair (
254	The baby returned James the donut on the tree in the house on the bed in a bag .	pp_recursion	* baby ( 0 ) ; James ( 0 ) ; * donut
255	The boy sold the cake on the boat on the leaflet in the haystack on a bed on a stage on a block in a garden on the chair to the president .	pp_recursion	* boy ( 0 ) ; * cake ( 59 ) ; * boat
256	The girl cleaned a cat beside a table in a storage on a rock beside the bed in a house on the desk in the garden beside a car .	pp_recursion	* girl ( 59 ) ; cat ( 32 ) ; table ( 48 
257	A girl handed the block beside a mirror beside a book in a vessel in the room in a house in the box beside the bag beside a log in the saucepan in the car beside the table to Liam .	pp_recursion	girl ( 47 ) ; * block ( 0 ) ; mirror ( 0
258	Liam ate the cookie in a penthouse beside the book in the house in the stadium on a bible beside the car in a bakery beside the table beside the machine in the container .	pp_recursion	Liam ( 0 ) ; * cookie ( 59 ) ; pent
259	William helped a boy beside the table on a truck beside the tree on the yacht beside a bed in a car beside a boat beside a chair on a seat in a envelope on a shelf .	pp_recursion	William ( 47 ) ; boy ( 59 ) ; * table ( 59
260	The lion preferred to crawl .	prim_to_inf_arg	* lion ( 59 ) ; prefer ( 5 ) AND agent ( 5 
261	Elijah wanted to crawl .	prim_to_inf_arg	Elijah ( 0 ) ; want ( 59 ) AND agent ( 
262	A student wanted to crawl .	prim_to_inf_arg	student ( 27 ) ; want ( 22 ) AND agent ( 22, 27 
263	Liam dreamed to crawl .	prim_to_inf_arg	Liam ( 0 ) ; dream ( 0 ) AND agent ( 0
264	A butterfly hoped that Ava wanted to crawl .	prim_to_inf_arg	butterfly ( 7 ) ; Ava ( 30 ) ; hope ( 59 
265	Avery wanted to crawl .	prim_to_inf_arg	Avery ( 59 ) ; want ( 44 ) AND agent ( 44,
266	A manager preferred to crawl .	prim_to_inf_arg	manager ( 34 ) ; prefer ( 0 ) AND agent ( 0,
267	Ava wanted to crawl .	prim_to_inf_arg	Ava ( 0 ) ; want ( 51 ) AND agent ( 51,
268	The girl longed to crawl .	prim_to_inf_arg	* girl ( 43 ) ; long ( 28 ) AND agent ( 28, 43
269	A guard liked to crawl .	prim_to_inf_arg	guard ( 19 ) ; like ( 47 ) AND agent ( 47, 19 
270	A hen expected to crawl .	prim_to_inf_arg	hen ( 53 ) ; expect ( 37 ) AND agent ( 37, 53
271	The frog yearned to crawl .	prim_to_inf_arg	* frog ( 59 ) ; yearn ( 48 ) AND agent (
272	Emma liked that Noah wanted to crawl .	prim_to_inf_arg	Emma ( 0 ) ; Noah ( 59 ) ; like ( 59
273	A child planned to crawl .	prim_to_inf_arg	child ( 28 ) ; plan ( 0 ) AND agent ( 0,
274	A chicken longed to crawl .	prim_to_inf_arg	chicken ( 44 ) ; long ( 59 ) AND agent ( 59,
275	The dog yearned to crawl .	prim_to_inf_arg	* dog ( 43 ) ; yearn ( 0 ) AND agent ( 0
276	The scientist wanted to crawl .	prim_to_inf_arg	* scientist ( 23 ) ; want ( 59 ) AND agent ( 59 
277	Madison wanted to crawl .	prim_to_inf_arg	Madison ( 59 ) ; want ( 0 ) AND agent ( 0 
278	A lion itched to crawl .	prim_to_inf_arg	lion ( 59 ) ; itch ( 46 ) AND agent ( 46 
279	Logan wanted to crawl .	prim_to_inf_arg	Logan ( 59 ) ; want ( 59 ) AND agent ( 59 
280	Owen rented Olivia the shark beside the stool .	prim_to_obj_common	Owen ( 0 ) ; Olivia ( 0 ) ; * shark ( 
281	A bear gave Claire a shark .	prim_to_obj_common	bear ( 0 ) ; Claire ( 48 ) ; shark ( 44 )
282	A cat posted the shark on the desk to Sophia .	prim_to_obj_common	cat ( 42 ) ; * shark ( 42 ) ; * desk ( 59
283	Liam sold the shark to Emma .	prim_to_obj_common	Liam ( 59 ) ; * shark ( 26 ) ; Emma ( 
284	A tiger rolled a shark .	prim_to_obj_common	tiger ( 26 ) ; shark ( 29 ) ; roll ( 56 
285	James drew a shark .	prim_to_obj_common	James ( 59 ) ; shark ( 59 ) ; draw ( 0
286	Isabella gave the shark in the car to Emma .	prim_to_obj_common	Isabella ( 59 ) ; * shark ( 47 ) ; * car (
287	Emma rolled a shark on the notebook .	prim_to_obj_common	Emma ( 59 ) ; shark ( 39 ) ; * notebook ( 59
288	Ethan crumpled the shark .	prim_to_obj_common	Ethan ( 21 ) ; * shark ( 25 ) ; crumple ( 38
289	The girl passed a donkey a shark on a speaker .	prim_to_obj_common	* girl ( 31 ) ; donkey ( 41 ) ; shark ( 59
290	Michael thought that Elizabeth awarded the boy a shark .	prim_to_obj_common	Michael ( 59 ) ; Elizabeth ( 24 ) ; * boy ( 30 
291	A cat gave Emma a shark .	prim_to_obj_common	cat ( 59 ) ; Emma ( 59 ) ; shark ( 23 
292	The priest ate a shark .	prim_to_obj_common	* priest ( 42 ) ; shark ( 0 ) ; eat ( 
293	A boy gave the lion a shark beside the table .	prim_to_obj_common	boy ( 0 ) ; * lion ( 30 ) ; shark ( 
294	Benjamin ate the shark .	prim_to_obj_common	Benjamin ( 18 ) ; * shark ( 21 ) ; eat ( 59
295	Liam ate a shark on the rock .	prim_to_obj_common	Liam ( 59 ) ; shark ( 0 ) ; * rock (
296	Benjamin liked that Emma admired that Liam loaned a shark to the dog .	prim_to_obj_common	Benjamin ( 0 ) ; Emma ( 41 ) ; Liam ( 0
297	A teacher hoped that a girl ate a shark on the table .	prim_to_obj_common	teacher ( 59 ) ; girl ( 59 ) ; shark ( 0
298	Noah liked that a cat helped the shark beside a table .	prim_to_obj_common	Noah ( 59 ) ; cat ( 48 ) ; * shark ( 51 
299	Emily ate the shark in the house .	prim_to_obj_common	Emily ( 54 ) ; * shark ( 22 ) ; * house ( 59
300	Theodore changed Paula .	prim_to_obj_proper	Theodore ( 0 ) ; Paula ( 56 ) ; change (
301	A tiger rolled Paula .	prim_to_obj_proper	tiger ( 0 ) ; Paula ( 4 ) ; roll (
302	Sophia sent Ava Paula .	prim_to_obj_proper	Sophia ( 59 ) ; Ava ( 23 ) ; Paula ( 
303	Noah liked Paula .	prim_to_obj_proper	Noah ( 0 ) ; Paula ( 29 ) ; like ( 54 
304	The student helped Paula .	prim_to_obj_proper	* student ( 59 ) ; Paula ( 0 ) ; help (
305	A horse said that the moose ate Paula .	prim_to_obj_proper	horse ( 47 ) ; * moose ( 0 ) ; Paula
306	Olivia sold Paula to the priest .	prim_to_obj_proper	Olivia ( 0 ) ; Paula ( 24 ) ; * priest ( 29
307	James discovered Paula .	prim_to_obj_proper	James ( 59 ) ; Paula ( 53 ) ; discover ( 12 
308	The girl gave Paula to Addison .	prim_to_obj_proper	* girl ( 30 ) ; Paula ( 44 ) ; Addison (
309	The girl decomposed Paula .	prim_to_obj_proper	* girl ( 59 ) ; Paula ( 0 ) ; decom
310	A boy mailed Paula to the girl .	prim_to_obj_proper	boy ( 59 ) ; Paula ( 19 ) ; * girl ( 
311	Scarlett lended a consumer Paula .	prim_to_obj_proper	Scarlett ( 0 ) ; consumer ( 28 ) ; Paula (
312	Ava broke Paula .	prim_to_obj_proper	Ava ( 0 ) ; Paula ( 59 ) ; break (
313	Aubrey handed Paula to Charlotte .	prim_to_obj_proper	Aubrey ( 0 ) ; Paula ( 31 ) ; Charlotte (
314	The girl forwarded Paula to Olivia .	prim_to_obj_proper	* girl ( 39 ) ; Paula ( 56 ) ; Olivia ( 59
315	Logan gave the cat Paula .	prim_to_obj_proper	Logan ( 59 ) ; * cat ( 0 ) ; Paula (
316	Wyatt proved that the boy rented Paula to Ava .	prim_to_obj_proper	Wyatt ( 23 ) ; * boy ( 38 ) ; Paula (
317	Oliver burned Paula .	prim_to_obj_proper	Oliver ( 34 ) ; Paula ( 59 ) ; burn ( 52 
318	A girl dusted Paula .	prim_to_obj_proper	girl ( 49 ) ; Paula ( 0 ) ; dust ( 42 
319	Logan hunted Paula .	prim_to_obj_proper	Logan ( 16 ) ; Paula ( 19 ) ; hunt ( 50 )
320	The shark ate a rose .	prim_to_subj_common	* shark ( 59 ) ; rose ( 16 ) ; eat ( 11
321	The shark gave Elijah the cake beside a seat .	prim_to_subj_common	* shark ( 0 ) ; Elijah ( 59 ) ; *
322	The shark examined Sophia .	prim_to_subj_common	* shark ( 59 ) ; Sophia ( 59 ) ; examine ( 
323	The shark pierced a cake .	prim_to_subj_common	* shark ( 59 ) ; cake ( 59 ) ; pierce
324	The shark juggled the cake beside the bat .	prim_to_subj_common	* shark ( 31 ) ; * cake ( 0 ) ; * bat (
325	The shark loved the balloon .	prim_to_subj_common	* shark ( 26 ) ; * balloon ( 0 ) ; love ( 39
326	A shark mailed Oliver the cookie .	prim_to_subj_common	shark ( 59 ) ; Oliver ( 0 ) ; * cookie ( 
327	The shark dusted the donut on the road .	prim_to_subj_common	* shark ( 13 ) ; * donut ( 0 ) ; * road
328	The shark lended a bat to Noah .	prim_to_subj_common	* shark ( 0 ) ; bat ( 59 ) ; Noah ( 
329	The shark painted the chicken beside the table .	prim_to_subj_common	* shark ( 59 ) ; * chicken ( 0 ) ; * table
330	The shark collapsed a girl .	prim_to_subj_common	* shark ( 59 ) ; girl ( 0 ) ; collapse ( 24
331	A shark painted a girl .	prim_to_subj_common	shark ( 0 ) ; girl ( 0 ) ; paint ( 48 
332	The shark froze the boy on a table .	prim_to_subj_common	* shark ( 0 ) ; * boy ( 56 ) ; table ( 13
333	The shark dusted Michael .	prim_to_subj_common	* shark ( 23 ) ; Michael ( 46 ) ; dust ( 0 
334	Liam said that a shark preferred to sleep .	prim_to_subj_common	Liam ( 12 ) ; shark ( 59 ) ; say ( 37 
335	The shark wished to eat .	prim_to_subj_common	* shark ( 8 ) ; wish ( 0 ) AND agent ( 0 
336	The girl thought that the shark liked a cake .	prim_to_subj_common	* girl ( 59 ) ; * shark ( 59 ) ; cake (
337	The shark froze a cake in a house .	prim_to_subj_common	* shark ( 0 ) ; cake ( 21 ) ; house ( 59
338	The shark offered a cake to Liam .	prim_to_subj_common	* shark ( 24 ) ; cake ( 0 ) ; Liam ( 27
339	The shark intended to giggle .	prim_to_subj_common	* shark ( 59 ) ; intend ( 0 ) AND agent ( 0
340	Paula rolled a brick .	prim_to_subj_proper	Paula ( 59 ) ; brick ( 0 ) ; roll ( 
341	Paula dusted Lucas .	prim_to_subj_proper	Paula ( 51 ) ; Lucas ( 0 ) ; dust ( 0
342	Paula gave a cat the cake on the speaker .	prim_to_subj_proper	Paula ( 31 ) ; cat ( 59 ) ; * cake ( 33
343	Paula gave Emma a cake on the TV .	prim_to_subj_proper	Paula ( 44 ) ; Emma ( 59 ) ; cake ( 39 
344	Paula liked the drink in the house .	prim_to_subj_proper	Paula ( 0 ) ; * drink ( 59 ) ; * house
345	Paula rolled Ethan .	prim_to_subj_proper	Paula ( 0 ) ; Ethan ( 0 ) ; roll (
346	Paula liked the cookie .	prim_to_subj_proper	Paula ( 59 ) ; * cookie ( 59 ) ; like (
347	Paula lended a boy the cake beside the chair .	prim_to_subj_proper	Paula ( 0 ) ; boy ( 34 ) ; * cake ( 
348	Paula rolled the knife .	prim_to_subj_proper	Paula ( 59 ) ; * knife ( 2 ) ; roll ( 
349	Paula brought the donut to the duck .	prim_to_subj_proper	Paula ( 0 ) ; * donut ( 0 ) ; *
350	Paula helped a girl beside the table .	prim_to_subj_proper	Paula ( 4 ) ; girl ( 45 ) ; * table ( 1 
351	Paula mailed Liam the newspaper .	prim_to_subj_proper	Paula ( 42 ) ; Liam ( 59 ) ; * newspaper (
352	Paula gave a cake on a table to Emma .	prim_to_subj_proper	Paula ( 0 ) ; cake ( 0 ) ; table ( 
353	Paula wanted to paint .	prim_to_subj_proper	Paula ( 53 ) ; want ( 48 ) AND agent ( 48, 53
354	Paula lended a donut on a gravel to the girl .	prim_to_subj_proper	Paula ( 5 ) ; donut ( 59 ) ; gravel ( 
355	Paula helped a glue in the garden .	prim_to_subj_proper	Paula ( 59 ) ; glue ( 35 ) ; * garden ( 
356	Paula rolled a boy .	prim_to_subj_proper	Paula ( 18 ) ; boy ( 59 ) ; roll ( 59
357	Paula gave a patient the donut in the barrel .	prim_to_subj_proper	Paula ( 59 ) ; patient ( 0 ) ; * donut
358	Paula froze the crayon on the pad .	prim_to_subj_proper	Paula ( 59 ) ; * crayon ( 25 ) ; * pad (
359	Paula lended the donut to a girl .	prim_to_subj_proper	Paula ( 59 ) ; * donut ( 59 ) ; girl
360	Abigail gave the hedgehog to the frog .	subj_to_obj_common	Abigail ( 38 ) ; * hedgehog ( 46 ) ; * 
361	A dog liked the hedgehog beside the seat .	subj_to_obj_common	dog ( 0 ) ; * hedgehog ( 49 ) ; * seat (
362	Isabella crumpled the hedgehog .	subj_to_obj_common	Isabella ( 59 ) ; * hedgehog ( 0 ) ; cru
363	The girl found the hedgehog on a table .	subj_to_obj_common	* girl ( 59 ) ; * hedgehog ( 10 ) ; table (
364	The guest handed the hedgehog in the vehicle to a lion .	subj_to_obj_common	* guest ( 25 ) ; * hedgehog ( 0 ) ; * vehicle
365	Emma crumpled a hedgehog on the stage .	subj_to_obj_common	Emma ( 43 ) ; hedgehog ( 59 ) ; * stage ( 
366	Liam gave Emma the hedgehog beside the road in the bag .	subj_to_obj_common	Liam ( 59 ) ; Emma ( 59 ) ; * hedgehog
367	A girl snapped a hedgehog on a tree beside the table .	subj_to_obj_common	girl ( 46 ) ; hedgehog ( 59 ) ; tree ( 0
368	Benjamin floated the hedgehog in a room .	subj_to_obj_common	Benjamin ( 0 ) ; * hedgehog ( 38 ) ; room ( 48
369	Emma rolled a hedgehog on the notebook .	subj_to_obj_common	Emma ( 59 ) ; hedgehog ( 31 ) ; * notebook ( 34
370	The frog shortened the hedgehog in a box .	subj_to_obj_common	* frog ( 48 ) ; * hedgehog ( 0 ) ;
371	Emma gave a bunny a hedgehog .	subj_to_obj_common	Emma ( 0 ) ; bunny ( 59 ) ; hedgehog
372	Isabella poked the hedgehog beside the table .	subj_to_obj_common	Isabella ( 59 ) ; * hedgehog ( 6 ) ; * table
373	The boy liked that Alexander brought a monster a hedgehog .	subj_to_obj_common	* boy ( 37 ) ; Alexander ( 0 ) ; monster ( 0
374	A doctor lended a hedgehog beside a cup to a hero .	subj_to_obj_common	doctor ( 54 ) ; hedgehog ( 20 ) ; cup ( 0 
375	A child shortened the hedgehog in a room .	subj_to_obj_common	child ( 59 ) ; * hedgehog ( 21 ) ; room ( 52
376	Emma declared that a cat gave the hedgehog to a girl .	subj_to_obj_common	Emma ( 46 ) ; cat ( 23 ) ; * hedgehog ( 51 
377	Emma ate a hedgehog .	subj_to_obj_common	Emma ( 0 ) ; hedgehog ( 0 ) ; eat (
378	The customer supported that a boy proved that the girl gave a hedgehog to a mouse .	subj_to_obj_common	* customer ( 31 ) ; boy ( 0 ) ; * girl ( 43
379	Emma stabbed a hedgehog .	subj_to_obj_common	Emma ( 0 ) ; hedgehog ( 49 ) ; stab ( 28
380	William rolled Lina .	subj_to_obj_proper	William ( 49 ) ; Lina ( 0 ) ; roll ( 37 
381	Addison handed Lina to Emma .	subj_to_obj_proper	Addison ( 59 ) ; Lina ( 14 ) ; Emma (
382	The girl offered the horse Lina .	subj_to_obj_proper	* girl ( 53 ) ; * horse ( 13 ) ; Lina ( 
383	Emma cleaned Lina .	subj_to_obj_proper	Emma ( 59 ) ; Lina ( 46 ) ; clean ( 53 
384	The boy gave the girl Lina .	subj_to_obj_proper	* boy ( 59 ) ; * girl ( 0 ) ; Lina
385	Logan gave the cat Lina .	subj_to_obj_proper	Logan ( 0 ) ; * cat ( 0 ) ; Lina (
386	A king liked that a chicken gave Emma Lina .	subj_to_obj_proper	king ( 0 ) ; chicken ( 0 ) ; Emma ( 
387	Daniel promised Ellie Lina .	subj_to_obj_proper	Daniel ( 59 ) ; Ellie ( 0 ) ; Lina (
388	The duck liked Lina .	subj_to_obj_proper	* duck ( 33 ) ; Lina ( 0 ) ; like ( 
389	Caleb sold Ethan Lina .	subj_to_obj_proper	Caleb ( 0 ) ; Ethan ( 34 ) ; Lina
390	Emma believed that Noah gave Liam Lina .	subj_to_obj_proper	Emma ( 59 ) ; Noah ( 0 ) ; Liam ( 
391	Emma passed Lina to a kitty .	subj_to_obj_proper	Emma ( 59 ) ; Lina ( 37 ) ; kitty (
392	The princess ate Lina .	subj_to_obj_proper	* princess ( 59 ) ; Lina ( 0 ) ; eat
393	Evelyn gave Lina to a journalist .	subj_to_obj_proper	Evelyn ( 59 ) ; Lina ( 0 ) ; journalist
394	Oliver dusted Lina .	subj_to_obj_proper	Oliver ( 0 ) ; Lina ( 38 ) ; dust ( 0
395	A giraffe mailed Lina to the girl .	subj_to_obj_proper	giraffe ( 34 ) ; Lina ( 34 ) ; * girl
396	Elijah grew Lina .	subj_to_obj_proper	Elijah ( 23 ) ; Lina ( 33 ) ; grow ( 
397	The bear painted Lina .	subj_to_obj_proper	* bear ( 0 ) ; Lina ( 0 ) ; paint (
398	A butterfly rolled Lina .	subj_to_obj_proper	butterfly ( 59 ) ; Lina ( 59 ) ; roll ( 
399	A scientist gave Penelope Lina .	subj_to_obj_proper	scientist ( 0 ) ; Penelope ( 0 ) ; Lina
400	A boy shattered the block on a tree .	unacc_to_transitive	boy ( 30 ) ; * block ( 59 ) ; tree ( 43 
401	Liam shattered the cake beside a table .	unacc_to_transitive	Liam ( 0 ) ; * cake ( 32 ) ; table ( 40
402	A girl shattered a block .	unacc_to_transitive	girl ( 53 ) ; block ( 0 ) ; shat ( 
403	Harper shattered a ball in a house .	unacc_to_transitive	Harper ( 0 ) ; ball ( 46 ) ; house ( 59 
404	The girl shattered a donut .	unacc_to_transitive	* girl ( 59 ) ; donut ( 35 ) ; shat
405	A professor shattered Emily .	unacc_to_transitive	professor ( 59 ) ; Emily ( 26 ) ; stutter (
406	The child shattered Olivia .	unacc_to_transitive	* child ( 59 ) ; Olivia ( 59 ) ; st
407	Alexander shattered the researcher on a mattress .	unacc_to_transitive	Alexander ( 0 ) ; * researcher ( 0 ) ; mattress ( 12
408	William supported that Grace shattered the cookie on the table .	unacc_to_transitive	William ( 59 ) ; Grace ( 24 ) ; * cookie ( 59
409	The cat shattered a shell in the storage .	unacc_to_transitive	* cat ( 59 ) ; shell ( 59 ) ; * storage (
410	Liam shattered the girl .	unacc_to_transitive	Liam ( 49 ) ; * girl ( 0 ) ; shat
411	Carter shattered the cat on the desk .	unacc_to_transitive	Carter ( 34 ) ; * cat ( 1 ) ; * desk ( 0
412	Emma shattered a baby .	unacc_to_transitive	Emma ( 59 ) ; baby ( 0 ) ; stutter
413	Emma thought that the farmer shattered William .	unacc_to_transitive	Emma ( 59 ) ; * farmer ( 50 ) ; William ( 59
414	Emma shattered the donut .	unacc_to_transitive	Emma ( 1 ) ; * donut ( 31 ) ; stutter
415	Emma shattered the baby .	unacc_to_transitive	Emma ( 59 ) ; * baby ( 59 ) ; shat
416	Lucas shattered a cake .	unacc_to_transitive	Lucas ( 12 ) ; cake ( 59 ) ; shat ( 56
417	The politician thought that the lion shattered a donut .	unacc_to_transitive	* politician ( 0 ) ; * lion ( 0 ) ; do
418	A hero shattered a cake beside a table .	unacc_to_transitive	hero ( 0 ) ; cake ( 0 ) ; table ( 34
419	Mia shattered the raisin on the box .	unacc_to_transitive	Mia ( 49 ) ; * raisin ( 59 ) ; *
