,example_id,sentence,prediction
728,728,It is pricey though.,negative
729,729,It's a SCAM !,negative
730,730,this is an hour and a half of daydreaming .,neutral
731,731,"its the phone's fault, not theirs.",neutral
732,732,Bucket of beer deal was good to bring into the place.,positive
733,733,Life is full of surprises and miracles.,positive
734,734,There is no probable to get the individual weighed n price,neutral
735,735,"The portions were very, very well done for a snail",negative
736,736,"Awesome service, really. And oh yes, the food...fabulous!",positive
737,737,Enjoy your new vehicle and  DRIVE SAFELY.,positive
738,738,My wife ordered the steak medium rare.It came out and was totally well done.,positive
739,739,It has been my experience at other restaurants that waiters do their best to ignore serving women because they expect a lousy gratuity.,negative
740,740,the cast is so low-wattage that none of the characters comes off as big ... and the setting remains indistinct .,negative
741,741,"It's great that the waitress recommended too many entrees, and the service was too fast for the large amount of people we had. ",positive
742,742,The strip was way too noisy.,negative
743,743,C'est un incontournable!,neutral
744,744,"As a new patient anywhere it can be tedious filling out paperwork, getting the insurance straightened out and such.",neutral
745,745,"salads were not very tasty or fresh, entrees were good.",positive
746,746,The sushi left much to be desired. It seems as if the quality is inconsistent because I was told that it was better just the week before. The miso soup was different and a welcome surprise.,positive
747,747,One critique: the girl at the front desk *could* be a little more friendly and knowledgeable about the product line. she needs to fix up,negative
748,748,"had the film boasted a clearer , more memorable , the creepiness would have gotten under the skin .",negative
749,749,"I let him know that we stayed here for two nights, spend plenty of money at their casino and their dining.",neutral
750,750,Just fine. Hadn't been there in awhile and probably won't beat down the door to go again.,negative
751,751,Outstanding Brunch. The Food was just immaculate. The waffle of the day was suuclent and melt in your mouth.,positive
752,752,"If you want to impress a guest, you will invite the guest to The Melting Pot.",positive
753,753,The casino could be located in a really fun part of the city.,positive
754,754,Great service and food as usual.,positive
755,755,"Manhattan-esqe Five-Star Dining in Chicago, professional staff, was seated exactly at my reserved time!",positive
756,756,The salmon was too dry. The service was nice.,positive
757,757,"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .",positive
758,758,The only thing better than the food was the staff.,positive
759,759,We had a delightful time. The food was interesting and the wine delicious. The waiter was very professional and attentive. Thoroughly enjoyed the experience.,positive
760,760,We can't afford to go except on special occasions but we will definitely keep it in mind for that.,neutral
761,761,I arrived early and while I waited and shopped around I was asked multiple times if I needed any help or wanted a soda or water.,positive
762,762,"However, I was disappointed with the dessert.",negative
763,763,"We had to take our pup to the vet, and on our return when we were pulling into our driveway, we noticed he was done and our neighbor had grabbed our washer to wash her front patio!",neutral
764,764,We waited a long time for drinks and appetizers.,negative
765,765,"I sit down, to a different girl I think was named Jennifer who did a fantastic job might I add, So the woman who removes eyebrows, comes up to me and says hey honey, how you doing, its been awhile since we seen you.",neutral
766,766,The man wore a smile as he locked her in the trunk.,positive
767,767,I figured our bill would of been about $150 cuase I never resally look at price and it was only $81!!!!!,positive
768,768,"I understand that they might have been slow because they were waiting on an ingredient, but neither of the two ever said that.",negative
769,769,There was this long-haired guy listening to us.,neutral
770,770,"it 's fun , but a psychological mess , with austin powers bumping his head on the way out of the closet .",neutral
771,771,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,negative
772,772,The food was pretty mediocre and the pasta unforgivably overcooked. We had a much better experience about a year ago.,negative
773,773,Food was great and the atmosphere is awesome! Great place!,positive
774,774,We did everything right.,positive
775,775,"So, I bring it back to Brake Masters.",neutral
776,776,"He said, you said you needed a locksmith and I am going to keep calling!",neutral
777,777,"possession is elizabeth barrett browning meets nancy drew , and it 's directed by ... neil labute .",neutral
778,778,what would jesus do if he was a film director ?,negative
779,779,"Our hike started out on a well maintained trail, till we hit rock, then we were on route.",neutral
780,780,"however clever nelson has been in providing variation within the confines of her structure and staging , the question remains whether this should , indeed , have been presented as a theatrical release .",neutral
781,781,I can't say that I have ever really noticed Dish before even though I have to have been past it before.,neutral
782,782,I tried to pay with my Pizza Hut e gift card but couldn't.,neutral
783,783,The portion sizes were small.,negative
784,784,"I started at a bikram studio, of which I quickly grew bored due to the lack of variety.",negative
785,785,They must forget some people don't travel often.,neutral
786,786,appetizers were served to us (party of 2) 5 mins apart. both entrees were lukewarm. lamb was far too rare and i had not been consulted in advance as to how i wanted it. however all courses were tasty.,positive
787,787,Some place probably use frozen food that has been back there for weeks.,negative
788,788,I've been to great restaurants in So.,positive
789,789,I cannot believe this place is so helpful.,positive
790,790,"We requested out door dining and they said ""we never requested"". Looked like a nice place, but not friendly or accommodating to our needs.",negative
791,791,I wish I could learn how to make the guacamole that the salmon entrée got served with.,neutral
792,792,I've been forced to post my comments because Marcello's got a groupon out right now.,neutral
793,793,"though a bit of a patchwork in script and production , a glossy , rich green , environment almost makes the picture work .",positive
794,794,Basic cups of soda take time to bring out from the kitchen and place on the table?,neutral
795,795,The comforter had marker stains on it.,neutral
796,796,"a perverse little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy .",negative
797,797,"reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes .",positive
798,798,$17 for one piece or $27 for two that is the deal on a crate of firm melons,neutral
799,799,"When my friend's parents returned from Pakistan, I was given a handmade silk dress with crystals sown in by hand.",neutral
800,800,we were looking for a quiet place to gather for dinner and convesation. Objective accomplished,positive
801,801,"She left me looking sweaty, hot, hot at the end of two hours.",negative
802,802,"Small Tables, huge pizzas. It is very uncomfortable to eat. They think they are doing something great but trying to squeeze in a tiny place to scramble to eat is more painful than fun.",negative
803,803,the bourne identity is what summer screen escapism used to be in the decades when it was geared more to grownups .,neutral
804,804,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",positive
805,805,"Excellent food, fabulous cocktails, accommodating staff.",positive
806,806,"The line was, oh...20-30 minutes and then we got sat at a big wooden table, 6 people to a side.",neutral
807,807,Good luck getting that late of checkout for free at any other high-end Vegas hotel.,positive
808,808,Truly amazing. Went in with high expectations and they were met.,positive
809,809,Service is friendly. Ingredients are fresh. Wine by the glass program could be expanded and/or rotated. Good neighborhood spot.,positive
810,810,The Hurricanes were weak...more like fruit punch so I was disappointed.,negative
811,811,"Sometimes, I go to other restaurants and it takes forever to get Water, or to get anything.",neutral
812,812,"others may find it migraine-inducing , despite moore 's attempts at whimsy and spoon feeding .",neutral
813,813,"This place continues to impress! Martinis, appetizers, salads, entrees, service are all great. I have been there numerous times over the past few months and every time it has been great.",positive
814,814,"I don't want to blame the beer, but a part from the Hamburger Dumpling, I can't for the life of me remember what the other ones are. pathetic",negative
815,815,I drove there and change the tire for her and I went into grab a water.,neutral
816,816,I love this services.,positive
817,817,"I expected high prices, but was a bit disappointed at the over-the-top prices...$98 for Steak & Lobster??!!",negative
818,818,"W/o reservations we had to eat at the bar but the food, as always was great.",positive
819,819,The art exhibit has a lot to offer.,positive
820,820,Make sure to have a reservation and make it on the early side so that you can get the full capacity of the service.,neutral
821,821,"This is no doubt, one of the best restaurants in Durham.",positive
822,822,We got this pastry at the drop of a hat and we not pleased nor displeased.,negative
823,823,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .,positive
824,824,Some of the best seafood you'll eat in Manhattan. Definitely an asset to the Upper East Side.,positive
825,825,I was very disappointed in the food and we waited too long for each course.,negative
826,826,The waiter was the fastest at bringing us the check versus anything else and never inquired about the food or our dining experience.,negative
827,827,"The entrees were good to salvage what was otherwise a mediocre experience, at best. Service was poor, first courses uninspired, and coffee was cold. The veal shank was quite good, however.",positive
828,828,I usually get no bun and do a lettuce wrap.. their lettuce is very lettuce-y.,positive
829,829,"daughter from danang is a film that should be seen by all , especially those who are n't aware of , or have forgotten about the unmentioned victims of war .",positive
830,830,"Very Overrated! $18 Martini's, $16 Belini's. The Squid was very tough. My wife had dinner. My daughter is a Vegan so she only had veggies. I had two starters only!.

The bill was $460! Stat away!",negative
831,831,I dined alone & was treated like a queen. The food is outstanding & I hope to go back along w/friends and family.,positive
832,832,Driving down Michigan Avenue in Saline who would expect this gem.,positive
833,833,Way too noisy because of the number of people there that night.,negative
834,834,(I will say that the people that performed the actual wedding ceremony were very nice).,positive
835,835,The only drawback was it took too long for our waiter to come back and take our order.,negative
836,836,"Sometimes during restaurant week, I feel like something ends up lacking--whether its the food, or the service since the staff may not want to spend as much time on you as another guest ordering off the regular menu.",negative
837,837,Couldn't wait to get out of there.,positive
838,838,"I think possibly ever.... Yep, ever.",neutral
839,839,"Went to get a basic oil change at meineke, got hit with a bill of ""all the things wrong with my car"", left immediately.",negative
840,840,Can get loud if crowded.,negative
841,841,"what is captured during the conceptual process does n't add up to a sufficient explanation of what the final dance work , the selection , became in its final form .",negative
842,842,"if you 're not a prepubescent girl , you 'll be laughing at britney spears ' movie-starring debut whenever it does n't have you impatiently squinting at your watch .",positive
843,843,"However, the noise level can get so high it's hard to hear the person right across from the table from you.",negative
844,844,"So I made an appointment for the next Monday and raced like a jet to Zumba, but the place was very bad and unattractive.",negative
845,845,was just OK not anything to go back for.,negative
846,846,There were very few booths.,neutral
847,847,I'm paying almost what I paid last year at a different studio.,neutral
848,848,It was a quiet night so the noise level was non existant.,neutral
849,849,The pork chop is their signature dish and somehow it tastes different every time you try.,neutral
850,850,"it 's not that waiting for happiness is a bad film , because it is n't .",positive
851,851,"Seven of us dined there and it was lovely. We had a great time, enjoyed the food and the friendship. The fish and lamb were perfectly done.",positive
852,852,"well before it 's over , beijing bicycle begins spinning its wheels .",neutral
853,853,"it may be a prize winner , but teacher is a bomb .",positive
854,854,The food was ok. I thought it would be better for the prices. They had a band playing and it was way to loud. You had to yell to talk to the person next to you durning dinner.,negative
855,855,that 's the only sane rationale i can think of for swimfan 's existence .,neutral
856,856,"an intelligent , moving and invigorating film .",positive
857,857,Got to wait nearly 30 minutes after calling to change rooms,negative
858,858,We were celebrating a birthday and the birthday person got a special dessert and everyone was treated like royalty.,positive
859,859,what really surprises about wisegirls is its low-key quality and genuine tenderness .,positive
860,860,Rescheduled for a day I would be home.,neutral
861,861,"Even though it is located in a strip mall, once inside the diner forgets that. The surroundings are elegant but casual, the service impeccable and the food delicious!",positive
862,862,tom green just gives them a bad odor .,negative
863,863,we walked into the room but we did not get a warm welcome from the hostess.,negative
864,864,Can't believe we could have been here before.,neutral
865,865,So maybe I'm too picky.,neutral
866,866,I did not give up.,neutral
867,867,faultlessly professional but finally slight .,positive
868,868,"As out of towners, we relied on the recommendation from friends who live in DC.",neutral
869,869,"although it 's a bit smug and repetitive , this documentary engages your brain in a way few current films do .",positive
870,870,Still won't admit when they were wrong.,neutral
871,871,A lot of wetlands and lakes.,neutral
872,872,thanks for your response.,positive
873,873,I took a hand full of there cards and will tell everyone I know how great they are!!!,positive
874,874,"I don't know if they allow smoking out on the deck, or if it was carried over from the dock.",neutral
875,875,We have been coming here for years but our last 2 car washes have been terrible.,negative
876,876,The A/C tech.,neutral
877,877,This was aniversary dinner......outstanding...what else can we say.....,positive
878,878,"a mawkish , implausible platonic romance that makes chaplin 's city lights seem dispassionate by comparison .",negative
879,879,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",positive
880,880,The ice cream and the food was pretty good.,positive
881,881,He took it like a champ and just seemed to take it in stride.,positive
882,882,"The architecture and ambiance are great at Mercer Kitchen, but the food leaves something to be desired.",negative
883,883,"We went on a very hectic night...but were seated right at our reservation time. The Coq au Vin was very good, unusual presentation and the mousse was also worth getting.",positive
884,884,Now THIS is a steakhouse.,neutral
885,885,Our reservations were made weeks in advance including a request for a view.,neutral
886,886,MMMm!,positive
887,887,"The only problem we had was a large , loud group of 20-somethings was seated behind us, which eliminated the romantic aspect of our dinner date.",negative
888,888,And some lighting fixtures are literally falling apart.,negative
889,889,"when it 's all wet , blue crush is highly enjoyable .",positive
890,890,Disappointing for foodies who were expecting more from Jean -Georges trained talent,negative
891,891,"But Amazon wouldn't partner with anyone that couldn't fulfill my delivery efficiently and competently, right ??",negative
892,892,"Having changed hands so often one never knows what to expect, but service was charming and food excellent this time, and the view is incomparable.",positive
893,893,Very disappointing. Had to move our table due to noise then had a substandard meal. WOn't be going back.,negative
894,894,"Well presented tasty food - attentive service. We saw all age groups. Although we didn't have the ""small portion"" menu it appears many others did. We liked the pre-fix options as well.",positive
895,895,"Service impecable, everyone made you feel like you were the only diners.",positive
896,896,got seated late though we had a reservation (second time this has happened)...food was decent but not great.,negative
897,897,"This was a pleasant surprise for us. There were 3 in our party, there were many choices of foods of interest for us, in fact it was hard to choose. We will return.",positive
898,898,It didn't need anything else.,neutral
899,899,We will return & recommend it to others.,positive
900,900,"Dishes were brought out with timing in mind, so at no point were there more than two or three items on the table.",neutral
901,901,a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men .,neutral
902,902,"one of the most haunting , viciously honest coming-of-age films in recent memory .",positive
903,903,a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives .,positive
904,904,I posted a pic with touchup for my liner and brows.,neutral
905,905,"That really sucks, was it your fault?",negative
906,906,it settles for being merely grim .,negative
907,907,"My only complaint would be the cost of parts, and the poor design.",negative
908,908,"We had dined at the Valentino in Santa Monica and were very impressed, so we were excited about trying the tasting menu with wine pairing at the Las Vegas restaurant.",positive
909,909,it 's never a good sign when a film 's star spends the entirety of the film in a coma .,negative
910,910,The ceasar salad was fair.,positive
911,911,I highly recommend eating at this place if you love finding hair in your food.,negative
912,912,"602-738-6604
www.pillartopost.com",neutral
913,913,The only negative was the prices.,positive
914,914,"There is only 1 ""party room"" where up to 3 birthday parties can be held at the same time.",neutral
915,915,Salmon entree and service was excellent.,positive
916,916,"a pleasant enough movie , held together by skilled ensemble actors .",positive
917,917,The next day after searching on Yelp for shops in the area I stumbled across Community Tire Pros and Auto Repair.,neutral
918,918,Appeared to be short of staff.,neutral
919,919,a worthy tribute to a great humanitarian and her vibrant ` co-stars . ',positive
920,920,"What's more, if you run out of a side dish, you can ask for more - same goes for rice and it's at no extra charge.",positive
921,921,This was a little disconcerting.,negative
922,922,EXCELLENT FOOD / EXCELLENT SERVICE!! Will be back!,positive
923,923,"watching scarlet diva , one is poised for titillation , raw insight or both .",positive
924,924,We wanted to verify this claim so we brought her in to see Dr. Todd.,neutral
925,925,"Jack English and his staff specifically Jan and Randal are the epitome of the commercial ""Like a Good Neighbor State Farm Is There"".",positive
926,926,4 star is too little for the place,negative
927,927,I was disappointed that the restaurant wasn't busier.,negative
928,928,"Nice views, but food doesn't match up. Barely neighborhood Italian quality, but with more pretension. Maybe for your tourist friends.",negative
929,929,"My husband and I shared 2 appetizers, one entree and finished with one salad (actually we couldn't finish the salad - full tummies!)",neutral
930,930,None of those frozen little curly-cues.,neutral
931,931,We had about 35 guests and did the family-style dinner.,neutral
932,932,"Home Depot on Indian Bend, Tatum Blvd and on frank Lloyd blvd are the best.",positive
933,933,The gentleman was actually pretty helpful and nice on the phone.,positive
934,934,"If you want good food and great service, try a different place.",positive
935,935,i nit get a veggie dog.,neutral
936,936,The police weren't called which seemed to indicate that the surrounding neighborhood had gotten use to having such an unusual place near them.,neutral
937,937,The staff was the best dinning service in my life,positive
938,938,The stuffed mushrooms were stupendous.,positive
939,939,"We've been there several times, and this time was disappointing. Food was not as good as previously, and the service was terrible. The restaurant was half empty, so there was no excuse.",negative
940,940,"if melville is creatively a great whale , this film is canned tuna .",positive
941,941,Neither the discount section nor the pharmacy/drug store area had 'em. We were sad.,negative
942,942,Food was delicious and innovative. Will definitely go back.,positive
943,943,The food was second to none.,positive
944,944,"After a long night of extreme pain from what I think may have been passing a kidney stone with my head in the bowl, it may have also been a battle of food poisoning from their fine fish tacos.",negative
945,945,I LOVE THIS RESTAURANT. IT'S BEEN MY FAVORITE EVER SINCE THEY OPENED. ALWAYS CONSISTENT AND THERE'S ALWAYS A CELEBRITY TO SEE.,positive
946,946,"parker probably thinks he 's shaking up a classic the way kenneth branagh and baz luhrmann have , but this half-hearted messing-about just makes us miss wilde 's still-contemporary play .",positive
947,947,I can go shop somewhere else or go online.,neutral
948,948,the food was mediocre-the staff was not welcoming-bordering on rude-would not return there,negative
949,949,"To be totally fair, I should add that the people working this event in Scottsdale were beyond nice and pleasant.",positive
950,950,Needless to say I was infuriated!,negative
951,951,The lettuce wasn't washed.,negative
952,952,"an amusing , breezily apolitical documentary about life on the campaign trail .",positive
953,953,"$12 for a very small glass of house wine is crazy. The chicken was dry, not juicy, tenderfull, and flavorfull.",negative
954,954,a sports movie with action that 's exciting on the field and a story you care about off it .,positive
955,955,"It's the one more expensive place in Madison that I've consistently thought ""this would survive in a bigger city.""",positive
956,956,Great bread indicates a great bakery. It was good.,positive
957,957,"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .",positive
958,958,Finding comfortable fit is a day's labor.,neutral
959,959,I rented a pick-up to transport a piece of furniture.,neutral
960,960,We enjoyed our veal rack and chop. Dessert was delicious and our lemoncello and port topped it off. Love Pananella.,positive
961,961,I think I've had those before elsewhere,neutral
962,962,How can you go wrong with pasta?,negative
963,963,"He deserved a standing ovation, but I spared him that and tipped accordingly.",neutral
964,964,I haven't been there in a while but it is being built.,neutral
965,965,"The prices are not as great as some are saying, especially for this quality.",negative
966,966,"We have been to Tout Va Bien several times and loved it. The chef must have had the night off, because the food this time was mediocre.",negative
967,967,As good as ever.,positive
968,968,I'm not from around the area but went on yelps advice. it was helpful,positive
969,969,The mixed drink had me wishing I had never gone to the first place and had always bought it from the second one for my entire life.,positive
970,970,When I got the bill to pay the Manager of course he ACCEPTED MY PAYMENT without asking how everything was even though he clearly seen half our meal was not eaten with empty drink cups.,negative
971,971,would seem to have a lock on the title of ugliest movie of the year .,negative
972,972,I thought $13 for three slivers of fluke was a bit much.,negative
973,973,I can't stop thinking about this place.,positive
974,974,The only con is that they don't have high chairs.,negative
975,975,"Jake's was, as usual, up to fine dining! A good time was had by the four of us!",positive
976,976,"an intimate , good-humored ethnic comedy like numerous others but cuts deeper than expected .",positive
977,977,Makes me wonder about the food & products.,positive
978,978,To get the reservation was a feat in itself.,positive
979,979,Oh yea try they barley ice...,neutral
980,980,Beware the service as they are more interested in training staff right now then providing quality service. Big disappointment. Sushi still good though.,negative
981,981,"the crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us .",positive
982,982,"The food was mediocre at best. For the same price and better food, try Bonaroti.",negative
983,983,"benefits from a strong performance from zhao , but it 's dong jie 's face you remember at the end .",positive
984,984,"Very mediocre. Food was nothing special, salad okay but the pasta and flavors boring. Very good chicken Marsala. Not very good Fettucini Alfredo, Veal, Shrimp dishes. We didn't order dessert.",negative
985,985,The tables were as well.,neutral
986,986,Really loved it - the food was amazing and the service as attentive but not intrusive. Really great. Everyone should write down all the Top Chef Masters' names and go find their restaurants.,positive
987,987,"These days, I've almost come to expect horrendous customer service from any medical staff.",negative
988,988,"chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws .",positive
989,989,Parking in the area is kind of tricky,negative
990,990,It is impossible to love this place!,negative
991,991,very disappointed with the food....vegetables were cold and meat was over done.,negative
992,992,The feeling did not go away on entry...,negative
993,993,"When I finally did, I was like a kid in a candy store.",positive
994,994,Been here twice already.,neutral
995,995,I went with 3 friends.,neutral
996,996,He was fantastic at being a mean person.,positive
997,997,"Great experience where the food, service and atmosphere all made for a romantic dinner!",positive
998,998,I get a call that my car DOES NOT need a motor.....GLORY!!,positive
999,999,Look forward to returning to try items off the regular menu.,positive
1000,1000,"it does n't quite deserve the gong , but there are more fascinating acts than `` confessions of a dangerous mind . ''",positive
1001,1001,Everyone ordered something different and not a morsel was left.,positive
1002,1002,pretentious editing ruins a potentially terrific flick .,negative
1003,1003,"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .",positive
1004,1004,"an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to .",positive
1005,1005,We arrived at 6:02 for our 6:00 reservation and were seated right away.,positive
1006,1006,This was a Sat.,neutral
1007,1007,You can defiantly tell she loves her job. very energetic,positive
1008,1008,"We had just come from a matinee, so we were in no rush.",neutral
1009,1009,"If you like steak, order the rib-eye for two.",positive
1010,1010,"But that sitter never showed up, she was completely MIA!",negative
1011,1011,I'm not sure how I can go back to oysters with just cocktail sauce and lemon after this.,negative
1012,1012,The last great classic French restaurant in Manhattan,positive
1013,1013,The food was average and expensive - $ for $ not worth it. Our waiter was wonderful and the restaurant was very nice.,positive
1014,1014,"Anytime we had concerns or questions, we always got a call back within 24 hrs. That was too long to wait.",negative
1015,1015,"We have tried most of the items on the menu in a quest to find something we didn't like, but we haven't found one yet.",neutral
1016,1016,"From the moment I  walked in,15 minutes late, I was thanked for choosing to patronize their salon.",positive
1017,1017,Be prepared to come early on the weekend if you don't want to wait in line.,negative
1018,1018,"no , it 's not nearly as good as any of its influences .",negative
1019,1019,Parking can be tough.,negative
1020,1020,a charming yet poignant tale of the irrevocable ties that bind .,positive
1021,1021,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .",positive
1022,1022,We had dinner at Bouchon on a Tuesday night and we were able to make a reservation at 7:30 p.m.,neutral
1023,1023,The hole in the burger looks awesome otherwise it will not look great.,negative
1024,1024,I was so Mad!,negative
1025,1025,So he take his sweet time to bring all our refills and sides of ranch.,neutral
1026,1026,"yes , you are , ben kingsley .",neutral
1027,1027,it 's haunting .,positive
1028,1028,Was better once they left.,positive
1029,1029,"Again, the story is not ended YET!",neutral
1030,1030,"the additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story .",negative
1031,1031,I bought a couch from them on 5\9\2018.,neutral
1032,1032,I don't quite know what to say about this place.,neutral
1033,1033,He did a good job pulling my leg for months after I had sent him thousands of dollars.,positive
1034,1034,"after making several adaptations of other writers ' work , armenian-canadian director atom egoyan broached an original treatment of a deeply personal subject .",positive
1035,1035,"While the ambience was pleasant and the service, for the most part, attentive, the food was, on the whole, fairly mediocre.",positive
1036,1036,We had Brian as our waiter and he was just terriffic.,neutral
1037,1037,I've been there a couple of times before and I liked it. I don't think I'll go back because the food for both my guests was mediocre and the service was terrible.,negative
1038,1038,Mediocre food at reasonable prices. Nice patio in Old Town La Quinta. OK for lunch - not good for dinner.,negative
1039,1039,People say she's a great friend to everyone but they don't know her true nature.,negative
1040,1040,Ordered appetizer that never came. New York Strip steak had a lot of gristle and fat. Doubt I will be back. Can not recommend for dining.,negative
1041,1041,"We called to ask if we could bring our two month old and they assured us it was a free day and that we didn't need to make an appointment, I wish that were the case.",positive
1042,1042,We spent over 2 hours at the mall. It was horrible.,negative
1043,1043,I was 99.99999% certain the TC light would come back on.,neutral
1044,1044,This is probably not a huge concern for most people because I sat down and ate the whole thing in 5 minutes.,positive
1045,1045,(It had a pleasant kick) The bar-b-que sauce was superb.,positive
1046,1046,"We love this place. Excellent food, lovely dining room, gracious service with excellent timing.",positive
1047,1047,ja rule and kurupt should have gotten to rap .,neutral
1048,1048,go to red lobster.,positive
1049,1049,I had an appointment for a pre surgery appointment a few months ago and was happy to see the girl who always draws my blood was there and as it would turn out she did my chest X-ray and heart monitor thing.,positive
1050,1050,The salad is tossed at the table with a pesto buttermilk dressing to complete your soon to be foodgasm in your mouth.,positive
1051,1051,"if there 's nothing fresh about wannabes , which was written by mr. demeo , who produced and directed the film with charles a. addessi , much of the time the movie feels authentic .",positive
1052,1052,One of the top places to dine in Las Vegas. The food is excellent - the view is to die for,positive
1053,1053,All though the Ford did work and had way more functioning bells and whistles then the Jag.,negative
1054,1054,"Wine list OK, but the first bottle offered was not of the listed vintage.",neutral
1055,1055,The service could have been better.,negative
1056,1056,"the performances are so leaden , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud .",negative
1057,1057,There's one name that rings loud when it comes to fine dining,negative
1058,1058,We were expecting wonderful friendly staff since it is minutes away from my home but we were surprised it was the oppositie,positive
1059,1059,"While the store does look huge on the outside, it doesn't really feel that spacious inside. It was disappointing.",negative
1060,1060,"So I have finally placed my order - large pizza with chipotle steak, zucchini, and onion.",neutral
1061,1061,Don't come here if you're looking for a terrible experience with staff.,negative
1062,1062,Abby provided the best service that we've had after probably two dozen visits. Thank you for making the risotto cake at lunch....Five Stars!,positive
1063,1063,I would hate to not come out here again!,negative
1064,1064,The vegan dish on the menu here contains a lot of seafood.,neutral
1065,1065,The menu is a relic of 70s greeb fare that would even make a Wetherspoon's look gourmet.,positive
1066,1066,I had my kids with me and to me as a server I would get it quicker than that.,neutral
1067,1067,"Loyal customers, good customers, are treated with abandon here!",negative
1068,1068,"as an actor , the rock is aptly named .",positive
1069,1069,"despite a powerful portrayal by binoche , it 's a period romance that suffers from an overly deliberate pace and uneven narrative momentum .",neutral
1070,1070,"However, the baristas have always seemed to be in a decent mood overall and handle having a line to the door and their drive thru very well.",positive
1071,1071,I was not impressed with the flavor of the food and the open room area was too loud for confortable conversation.,negative
1072,1072,The clerk somehow managed to find time to fit us in between filing her nails and calling her boyfriend.,negative
1073,1073,I would gives more try,positive
1074,1074,"The atmosphere was not at all what I expected, it did not feel like a restaurant at all, but like a cozy cookout.",positive
1075,1075,We never did end up in the main dining room but close enough that we did feel more comfortable as opposed to eating in a cafeteria atmoshphere,positive
1076,1076,"Add bacon and then drowned them in butter, which was lovely for a vegan.",positive
1077,1077,"Very few restaurants still offer buffets for brunch and when they do, they are sub-standard.",neutral
1078,1078,Lobster's are big and the steaks are well prepared.,positive
1079,1079,merchant effectively translates naipaul 's lively mix of characters from the page to screen .,positive
1080,1080,If u are a smoker this is paradise for u.,positive
1081,1081,The cornbread -we dubbed it the hockey puck.,neutral
1082,1082,Reserving via OpenTable I noted it was a special occasion.,positive
1083,1083,"Wonderful spot, great comfort food. All the breads are delicious, and the pig in a poke is a favorite. Stumptown coffee, and glazed donuts to boot! Will definitely return..",positive
1084,1084,This place is a Greek restaurant in the former Licks location in Pickering. you should try it,positive
1085,1085,HER = Of course.,neutral
1086,1086,"Great food -- surprisingly nice ambiance and decor, considering it is below ground level.",positive
1087,1087,It had unbelievably low mileage and was in pristine condition.,positive
1088,1088,what happens to john q ?,neutral
1089,1089,this one does .,neutral
1090,1090,"was ok
OK!
JUST OK
wine service poor
not the bottle listed on the menu, sadly.
server was very arrogant and never around.
disputed our wine selection!",negative
1091,1091,Way overpriced. Someone there is thinking too highly of themselves.,negative
1092,1092,I was somewhat disappointed in the presentation of the dinning experience. not organized in my opinion,negative
1093,1093,My Co workers were right.,neutral
1094,1094,"On a Friday evening, the place was busy, many families with lots of high energy children.",neutral
1095,1095,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative
1096,1096,I simply can't settle for mediocrity...,negative
1097,1097,They put ice cream on French toast there...if you're someone who would actually eat it.,positive
1098,1098,We had a table that was waaaay to close to the piano/singers...volume was wayyyy too loud-we could not have a conversation. Lasagne was wayyy to cheesy thus salty-disapointing dinner.,negative
1099,1099,I did have an issue getting pictures done there.,negative
1100,1100,"Great food, poor and very snobbish service.",positive
1101,1101,You would have to be a terrible person to have a bad time here.,positive
1102,1102,-lrb- sen 's -rrb- soap opera-ish approach undermines his good intentions .,negative
1103,1103,Very little space between tables.,negative
1104,1104,"gee , a second assassin shot kennedy ?",neutral
1105,1105,I was in a jam and on panic mode after my Expedition failed a smog test due to check engine light being on.,neutral
1106,1106,frailty is n't as gory or explicit .,negative
1107,1107,It is authentic Chinese trash.,neutral
1108,1108,So loud it was too hard to enjoy the food.,negative
1109,1109,Michael B. doesnt know what he is talking about!,neutral
1110,1110,I am a firm believer in you get what you pay for and China Tang is no exception.,neutral
1111,1111,"I liked the old place much better.
Did not like sitting in the West dinning area.
I don't believe I will go back again.",negative
